dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
10M_10pct_med_even_SE,1,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
10M_10pct_med_even_SE,2,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
10M_10pct_med_even_SE,3,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
30M_50pct_high_skewed_SE,1,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
30M_50pct_high_skewed_SE,2,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
30M_50pct_high_skewed_SE,3,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
5M_1pct_low_even_SE,1,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,2,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,3,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
60M_90pct_high_lognormal_SE,1,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
60M_90pct_high_lognormal_SE,2,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
60M_90pct_high_lognormal_SE,3,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
